filepath,filename,shortname,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T1-A-noIS-neg.mzML,Nit-Surf-Morn-T1-A.mzML,noIS,neg,Nit,Surf,Morn,T1,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-A-wIS.mzML,210813_Smp_Nit-Surf-Morn-T1-A-wIS.mzML,Nit-Surf-Morn-T1-A.mzML,wIS,neg,Nit,Surf,Morn,T1,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T1-B-noIS-neg.mzML,Nit-Surf-Morn-T1-B.mzML,noIS,neg,Nit,Surf,Morn,T1,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-B-wIS.mzML,210813_Smp_Nit-Surf-Morn-T1-B-wIS.mzML,Nit-Surf-Morn-T1-B.mzML,wIS,neg,Nit,Surf,Morn,T1,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T1-C-noIS-neg.mzML,Nit-Surf-Morn-T1-C.mzML,noIS,neg,Nit,Surf,Morn,T1,C,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T1-C-wIS.mzML,210813_Smp_Nit-Surf-Morn-T1-C-wIS.mzML,Nit-Surf-Morn-T1-C.mzML,wIS,neg,Nit,Surf,Morn,T1,C,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T10-A-noIS-neg.mzML,Nit-Surf-Morn-T10-A.mzML,noIS,neg,Nit,Surf,Morn,T10,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-A-wIS.mzML,210813_Smp_Nit-Surf-Morn-T10-A-wIS.mzML,Nit-Surf-Morn-T10-A.mzML,wIS,neg,Nit,Surf,Morn,T10,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T10-B-noIS-neg.mzML,Nit-Surf-Morn-T10-B.mzML,noIS,neg,Nit,Surf,Morn,T10,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-B-wIS.mzML,210813_Smp_Nit-Surf-Morn-T10-B-wIS.mzML,Nit-Surf-Morn-T10-B.mzML,wIS,neg,Nit,Surf,Morn,T10,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T10-C-noIS-neg.mzML,Nit-Surf-Morn-T10-C.mzML,noIS,neg,Nit,Surf,Morn,T10,C,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T10-C-wIS.mzML,210813_Smp_Nit-Surf-Morn-T10-C-wIS.mzML,Nit-Surf-Morn-T10-C.mzML,wIS,neg,Nit,Surf,Morn,T10,C,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T26-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T26-A-noIS-neg.mzML,Nit-Surf-Morn-T26-A.mzML,noIS,neg,Nit,Surf,Morn,T26,A,4,2
